Index	Date	Time	Readings (øF)	Type
497	10/11/2013	9:20:00 AM	29.8	
498	10/11/2013	9:55:00 AM	29.8	
499	10/11/2013	10:30:00 AM	29.8	
500	10/11/2013	11:05:00 AM	29.8	
501	10/11/2013	11:40:00 AM	29.9	
502	10/11/2013	12:15:00 PM	29.9	
503	10/11/2013	12:50:00 PM	29.9	
504	10/11/2013	1:25:00 PM	30	
505	10/11/2013	2:00:00 PM	30	
506	10/11/2013	2:35:00 PM	30.1	
507	10/11/2013	3:10:00 PM	30.2	
508	10/11/2013	3:45:00 PM	30.4	
509	10/11/2013	4:20:00 PM	30.4	
510	10/11/2013	4:55:00 PM	30.4	
511	10/11/2013	5:30:00 PM	30.5	
512	10/11/2013	6:05:00 PM	30.6	
513	10/11/2013	6:40:00 PM	30.7	
514	10/11/2013	7:15:00 PM	30.7	
515	10/11/2013	7:50:00 PM	30.7	
516	10/11/2013	8:25:00 PM	30.6	
517	10/11/2013	9:00:00 PM	30.6	
518	10/11/2013	9:35:00 PM	30.6	
519	10/11/2013	10:10:00 PM	30.6	
520	10/11/2013	10:45:00 PM	30.6	
521	10/11/2013	11:20:00 PM	30.6	
522	10/11/2013	11:55:00 PM	30.6	
523	10/12/2013	12:30:00 AM	30.6	
524	10/12/2013	1:05:00 AM	30.6	
525	10/12/2013	1:40:00 AM	30.5	
526	10/12/2013	2:15:00 AM	30.3	
527	10/12/2013	2:50:00 AM	30.2	
528	10/12/2013	3:25:00 AM	30	
529	10/12/2013	4:00:00 AM	29.9	
530	10/12/2013	4:35:00 AM	29.9	
531	10/12/2013	5:10:00 AM	29.7	
532	10/12/2013	5:45:00 AM	29.6	
533	10/12/2013	6:20:00 AM	29.6	
534	10/12/2013	6:55:00 AM	29.5	
535	10/12/2013	7:30:00 AM	29.4	
536	10/12/2013	8:05:00 AM	29.3	
537	10/12/2013	8:40:00 AM	29.3	
538	10/12/2013	9:15:00 AM	29.2	
539	10/12/2013	9:50:00 AM	29.3	
540	10/12/2013	10:25:00 AM	29.4	
541	10/12/2013	11:00:00 AM	29.4	
542	10/12/2013	11:35:00 AM	29.4	
543	10/12/2013	12:10:00 PM	29.4	
544	10/12/2013	12:45:00 PM	29.5	
545	10/12/2013	1:20:00 PM	29.6	
546	10/12/2013	1:55:00 PM	29.7	
547	10/12/2013	2:30:00 PM	29.8	
548	10/12/2013	3:05:00 PM	29.9	
549	10/12/2013	3:40:00 PM	29.9	
550	10/12/2013	4:15:00 PM	30	
551	10/12/2013	4:50:00 PM	30.1	
552	10/12/2013	5:25:00 PM	30.2	
553	10/12/2013	6:00:00 PM	30.3	
554	10/12/2013	6:35:00 PM	30.3	
555	10/12/2013	7:10:00 PM	30.4	
556	10/12/2013	7:45:00 PM	30.4	
557	10/12/2013	8:20:00 PM	30.4	
558	10/12/2013	8:55:00 PM	30.4	
559	10/12/2013	9:30:00 PM	30.4	
560	10/12/2013	10:05:00 PM	30.3	
561	10/12/2013	10:40:00 PM	30.2	
562	10/12/2013	11:15:00 PM	30.1	
563	10/12/2013	11:50:00 PM	30	
564	10/13/2013	12:25:00 AM	29.8	
565	10/13/2013	1:00:00 AM	29.9	
566	10/13/2013	1:35:00 AM	29.8	
567	10/13/2013	2:10:00 AM	29.8	
568	10/13/2013	2:45:00 AM	29.8	
569	10/13/2013	3:20:00 AM	29.8	
570	10/13/2013	3:55:00 AM	29.7	
571	10/13/2013	4:30:00 AM	29.7	
572	10/13/2013	5:05:00 AM	29.7	
573	10/13/2013	5:40:00 AM	29.7	
574	10/13/2013	6:15:00 AM	29.8	
575	10/13/2013	6:50:00 AM	29.8	
576	10/13/2013	7:25:00 AM	29.8	
577	10/13/2013	8:00:00 AM	29.7	
578	10/13/2013	8:35:00 AM	29.6	
579	10/13/2013	9:10:00 AM	29.6	
580	10/13/2013	9:45:00 AM	29.6	
581	10/13/2013	10:20:00 AM	29.7	
582	10/13/2013	10:55:00 AM	29.7	
583	10/13/2013	11:30:00 AM	29.8	
584	10/13/2013	12:05:00 PM	29.8	
585	10/13/2013	12:40:00 PM	29.8	
586	10/13/2013	1:15:00 PM	29.8	
587	10/13/2013	1:50:00 PM	29.9	
588	10/13/2013	2:25:00 PM	29.8	
589	10/13/2013	3:00:00 PM	29.8	
590	10/13/2013	3:35:00 PM	29.9	
591	10/13/2013	4:10:00 PM	29.9	
592	10/13/2013	4:45:00 PM	30	
593	10/13/2013	5:20:00 PM	30.1	
594	10/13/2013	5:55:00 PM	30.1	
595	10/13/2013	6:30:00 PM	30.2	
596	10/13/2013	7:05:00 PM	30.2	
597	10/13/2013	7:40:00 PM	30.2	
598	10/13/2013	8:15:00 PM	30.2	
599	10/13/2013	8:50:00 PM	30.3	
600	10/13/2013	9:25:00 PM	30.2	
601	10/13/2013	10:00:00 PM	30.2	
602	10/13/2013	10:35:00 PM	30	
603	10/13/2013	11:10:00 PM	30	
604	10/13/2013	11:45:00 PM	29.8	
605	10/14/2013	12:20:00 AM	29.7	
606	10/14/2013	12:55:00 AM	29.5	
607	10/14/2013	1:30:00 AM	29.3	
